02:53:42: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 46] Logger initialized for Command Worker
02:53:49: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity vector: (2.142857142857143, 2.142857142857143, 2.142857142857143) m/s
02:53:49: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity vector: (1.3333333333333333, 2.0, 2.0) m/s
02:53:50: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity vector: (0.625, 1.875, 1.875) m/s
02:53:50: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity vector: (0.0, 1.7647058823529411, 1.7647058823529411) m/s
02:53:51: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity vector: (0.0, 1.1111111111111112, 1.6666666666666667) m/s
02:53:51: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity vector: (0.0, 0.5263157894736842, 1.5789473684210527) m/s
02:53:52: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity vector: (0.0, 0.0, 1.5) m/s
02:53:52: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity vector: (0.0, 0.47619047619047616, 1.4285714285714286) m/s
02:53:53: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity vector: (0.0, 0.9090909090909091, 1.3636363636363635) m/s
02:53:53: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity vector: (0.0, 1.3043478260869565, 1.3043478260869565) m/s
02:53:54: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity vector: (0.4166666666666667, 1.25, 1.25) m/s
02:53:54: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity vector: (0.8, 1.2, 1.2) m/s
02:53:55: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity vector: (1.1538461538461537, 1.1538461538461537, 1.1538461538461537) m/s
02:53:55: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity vector: (1.1111111111111112, 0.7407407407407407, 1.1111111111111112) m/s
02:53:56: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity vector: (1.0714285714285714, 0.35714285714285715, 1.0714285714285714) m/s
02:53:56: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity vector: (1.0344827586206897, 0.0, 1.0344827586206897) m/s
02:53:57: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity vector: (0.6666666666666666, 0.0, 1.0) m/s
02:53:57: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity vector: (0.3225806451612903, 0.0, 0.967741935483871) m/s
